2024-11-25 22:50:55,074 - Inicio de prueba del entorno.
2024-11-25 22:50:55,100 - Step: 60, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.76099724]
2024-11-25 22:50:55,113 - Step: 61, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.72966497]
2024-11-25 22:50:55,114 - Step: 62, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.28186512]
2024-11-25 22:50:55,114 - Step: 63, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.72646482]
2024-11-25 22:50:55,115 - Step: 64, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.08745776]
2024-11-25 22:50:55,116 - Step: 65, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.58897903]
2024-11-25 22:50:55,116 - Step: 66, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.26078379]
2024-11-25 22:50:55,117 - Step: 67, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.18415891]
2024-11-25 22:50:55,117 - Step: 68, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.34099534]
2024-11-25 22:50:55,118 - Step: 69, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.06252327]
2024-11-25 22:50:55,118 - Step: 70, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.87515754]
2024-11-25 22:50:55,119 - Step: 71, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.24555369]
2024-11-25 22:50:55,120 - Step: 72, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.43300811]
2024-11-25 22:50:55,120 - Step: 73, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.37075788]
2024-11-25 22:50:55,121 - Step: 74, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.61233018]
2024-11-25 22:50:55,121 - Step: 75, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.63004138]
2024-11-25 22:50:55,121 - Step: 76, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.45220483]
2024-11-25 22:50:55,122 - Step: 77, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.59881932]
2024-11-25 22:50:55,122 - Step: 78, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.88107504]
